MIME	PRONOMTYPE	NFOTYPE
application/msword	Word_Processor	nfo:PaginatedTextDocument
application/pdf	pn:Page_Description	nfo:PaginatedTextDocument
application/vnd.ms-excel	pn:Spreadsheet	nfo:Spreadsheet
application/vnd.ms-powerpoint	pn:Presentation	nfo:Presentation	
application/vnd.openxmlformats-officedocument.presentationml.presentation	pn:Presentation	nfo:Presentation
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	pn:Spreadsheet	nfo:Spreadsheet
application/vnd.openxmlformats-officedocument.wordprocessingml.document	pn:Word_Processor	nfo:PaginatedTextDocument
application/vnd.sun.xml.writer	pn:Word_Processor	nfo:PaginatedTextDocument
application/vnd.sun.xml.impress	pn:Presentation	nfo:Presentation	
audio/mpeg	pn:Audio	nfo:Audio
audio/x-ms-wma	pn:Audio	nfo:Audio
audio/x-wav	pn:Audio	nfo:Audio
image/bmp	pn:Image_(Raster)	nfo:Image
image/gif	pn:Image_(Raster)	nfo:Image
image/jpeg	pn:Image_(Raster)	nfo:Image
image/jp2	pn:Image_(Raster)	nfo:Image
image/png	pn:Image_(Raster)	nfo:Image
image/svg+xml	pn:Image_(Vector)	nfo:Image
image/tiff	pn:Image_(Raster)	nfo:Image
text/html	pn:Text_(Mark-up)	nfo:HtmlDocument
text/rtf	pn:Word_Processor	nfo:PaginatedTextDocument
text/xml	pn:Text_(Mark-up)	nfo:PlainTextDocument
video/mp4	pn:Video	nfo:Video
video/x-msvideo	pn:Video	nfo:Video
video/x-ms-wmv	pn:Video	nfo:Video
