PUID	MIME
x-fmt/1	application/msword
x-fmt/10	application/dbase
x-fmt/13	text/plain
x-fmt/14	text/plain
x-fmt/15	text/plain
x-fmt/16	text/plain
x-fmt/18	text/csv
x-fmt/20	application/postscript
x-fmt/21	text/plain
x-fmt/22	text/plain
x-fmt/44	application/vnd.wordperfect
x-fmt/49	model/vnd.dwf
fmt/122	application/postscript
x-fmt/64	application/msword
x-fmt/65	application/msword
x-fmt/80	image/x-pict
x-fmt/87	application/vnd.ms-powerpoint
x-fmt/88	application/vnd.ms-powerpoint
fmt/125	application/vnd.ms-powerpoint
fmt/126	application/vnd.ms-powerpoint
x-fmt/91	application/postscript
x-fmt/92	image/vnd.adobe.photoshop
x-fmt/105	image/x-sld
x-fmt/109	image/svg+xml
x-fmt/110	text/plain
x-fmt/111	text/plain
x-fmt/113	application/vnd.visio
x-fmt/114	application/x-123
x-fmt/115	application/vnd.lotus-1-2-3
x-fmt/116	application/vnd.lotus-1-2-3
x-fmt/117	application/x-123
x-fmt/123	application/vnd.ms-excel
x-fmt/129	application/msword
x-fmt/130	text/plain
x-fmt/135	audio/x-aiff
x-fmt/136	audio/x-aiff
x-fmt/139	audio/basic
x-fmt/140	image/x-sgi-bw
x-fmt/142	image/cgm
x-fmt/152	video/dv
x-fmt/153	image/x-emf
x-fmt/158	model/iges
x-fmt/160	text/html
x-fmt/162	application/vnd.mif
x-fmt/164	image/x-portable-bitmap
x-fmt/169	text/html
x-fmt/178	image/x-portable-pixmap
x-fmt/183	audio/x-pn-realaudio
x-fmt/184	image/x-sun-raster
x-fmt/190	application/vnd.rn-realmedia
x-fmt/191	application/vnd.lotus-wordpro
x-fmt/195	text/sgml
x-fmt/203	application/vnd.wordperfect
x-fmt/207	image/x-xbitmap
x-fmt/208	image/x-xpixmap
x-fmt/212	application/vnd.lotus-1-2-3
x-fmt/219	application/x-internet-archive
x-fmt/222	application/x-cdf
x-fmt/224	text/css
x-fmt/227	application/gml+xml
x-fmt/230	audio/midi
x-fmt/232	application/x-project
fmt/124	application/postscript
fmt/123	application/postscript
x-fmt/243	application/vnd.ms-project
x-fmt/244	application/vnd.ms-project
x-fmt/245	application/vnd.ms-project
x-fmt/247	application/vnd.ms-project
x-fmt/258	application/vnd.visio
